COMMUNE_NOM,ENFANT_SEXE,ENFANT_PRENOM,URL_IMAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antibes,M,Mohamed,,0,0,0,0,0,0,0,7,0,0,0
Antibes,F,Alice,,0,0,0,0,0,0,0,6,0,0,0
Antibes,M,Ethan,,0,0,0,0,0,0,0,6,0,0,0
Antibes,M,Youssef,,0,0,0,0,0,0,0,6,0,0,0
Antibes,M,Amir,,0,0,0,0,0,0,0,5,0,0,0
Antibes,M,Antoine,,0,0,0,0,0,0,0,4,0,0,0
Paris,M,Arthur,,0,0,0,0,0,0,0,282,0,0,0
Paris,F,Alice,,0,0,0,0,0,0,0,180,0,0,0
Paris,M,Adam,,0,0,0,0,0,0,0,292,0,0,0
Paris,F,Louise,,0,0,0,0,0,0,0,223,0,0,0
Paris,F,Jeanne,,0,0,0,0,0,0,0,195,0,0,0
Paris,M,Gabriel,,0,0,0,0,0,0,0,371,0,0,0
Antibes,M,Raphaël,,0,0,0,0,0,0,0,0,10,0,0
Antibes,M,Adam,,0,0,0,0,0,0,0,0,9,0,0
Antibes,M,Gabriel,,0,0,0,0,0,0,0,0,9,0,0
Antibes,M,Paul,,0,0,0,0,0,0,0,0,9,0,0
Antibes,M,Arthur,,0,0,0,0,0,0,0,0,8,0,0
Antibes,M,Rayan,,0,0,0,0,0,0,0,0,8,0,0
Antibes,M,Ilyan,,0,0,0,0,0,0,0,0,8,0,0
Antibes,M,Léo,,0,0,0,0,0,0,0,0,8,0,0
Antibes,F,Chloé,,0,0,0,0,0,0,0,0,8,0,0
Antibes,F,Lola,,0,0,0,0,0,0,0,0,7,0,0
Antibes,F,Lya,,0,0,0,0,0,0,0,0,7,0,0
Antibes,F,Emma,,0,0,0,0,0,0,0,0,7,0,0
Antibes,F,Rose,,0,0,0,0,0,0,0,0,6,0,0
Antibes,F,Iris,,0,0,0,0,0,0,0,0,6,0,0
Paris,M,Adam,,0,0,0,0,0,0,0,0,285,0,0
Paris,F,Louise,,0,0,0,0,0,0,0,0,208,0,0
Paris,M,Gabriel,,0,0,0,0,0,0,0,0,312,0,0
Paris,F,Alma,,0,0,0,0,0,0,0,0,159,0,0
Paris,F,Alice,,0,0,0,0,0,0,0,0,162,0,0
Paris,M,Raphaël,,0,0,0,0,0,0,0,0,252,0,0
Antibes,F,Lina,,0,0,0,0,0,0,0,0,0,8,0
Antibes,M,Gabriel,,0,0,0,0,0,0,0,0,0,7,0
Antibes,F,Lou,,0,0,0,0,0,0,0,0,0,6,0
Antibes,M,Alessio,,0,0,0,0,0,0,0,0,0,5,0
Antibes,F,Alice,,0,0,0,0,0,0,0,0,0,5,0
Antibes,F,Jade,,0,0,0,0,0,0,0,0,0,5,0
Antibes,F,Luna,,0,0,0,0,0,0,0,0,0,5,0
Antibes,M,Mohamed,,0,0,0,0,0,0,0,0,0,5,0
Antibes,M,Ilyes,,0,0,0,0,0,0,0,0,0,4,0
Antibes,M,Imran,,0,0,0,0,0,0,0,0,0,4,0
Antibes,M,Léo,,0,0,0,0,0,0,0,0,0,4,0
Antibes,M,Nathan,,0,0,0,0,0,0,0,0,0,4,0
Antibes,M,Paul,,0,0,0,0,0,0,0,0,0,4,0
Antibes,M,Tiago,,0,0,0,0,0,0,0,0,0,4,0
Antibes,M,Younès,,0,0,0,0,0,0,0,0,0,4,0
Paris,M,Louis,,0,0,0,0,0,0,0,0,0,245,0
Paris,M,Adam,,0,0,0,0,0,0,0,0,0,250,0
Paris,F,Emma,,0,0,0,0,0,0,0,0,0,178,0
Paris,M,Gabriel,,0,0,0,0,0,0,0,0,0,357,0
Paris,F,Louise,,0,0,0,0,0,0,0,0,0,217,0
Paris,F,Alma,,0,0,0,0,0,0,0,0,0,207,0
Antibes,M,Elio,,0,0,0,0,0,0,0,0,0,0,8
Antibes,M,Léo,,0,0,0,0,0,0,0,0,0,0,7
Antibes,M,Gabriel,,0,0,0,0,0,0,0,0,0,0,6
Antibes,F,Lyna,,0,0,0,0,0,0,0,0,0,0,5
Antibes,F,Alya,,0,0,0,0,0,0,0,0,0,0,4
Antibes,F,Jennah,,0,0,0,0,0,0,0,0,0,0,4
Antibes,F,Lou,,0,0,0,0,0,0,0,0,0,0,4
Antibes,F,Sarah,,0,0,0,0,0,0,0,0,0,0,4
Paris,M,Raphaël,,0,0,0,0,0,0,0,0,0,0,250
Paris,F,Alma,,0,0,0,0,0,0,0,0,0,0,211
Paris,M,Gabriel,,0,0,0,0,0,0,0,0,0,0,332
Paris,M,Adam,,0,0,0,0,0,0,0,0,0,0,254
Paris,F,Louise,,0,0,0,0,0,0,0,0,0,0,210
Paris,F,Emma,,0,0,0,0,0,0,0,0,0,0,152
