COMMUNE_NOM,ENFANT_SEXE,ENFANT_PRENOM,URL_IMAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antibes,F,Charlotte,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Emma,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Lina,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Mila,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Nina,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,5,0,0,0,0
Antibes,F,Sofia,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,5,0,0,0,0
Paris,M,Adam,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,0,301,0,0,0,0
Paris,F,Louise,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,0,226,0,0,0,0
Paris,M,Gabriel,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,0,338,0,0,0,0
Paris,F,Alice,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,0,199,0,0,0,0
Paris,F,Emma,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,0,189,0,0,0,0
Paris,M,Arthur,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,0,0,0,0,264,0,0,0,0
Antibes,F,Mia,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,0,8,0,0,0
Antibes,F,Rose,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,0,8,0,0,0
